000000000100 00100 000 10111 0010011	-- addi rs23, rs4, 4
000000000011 10111 000 00001 0010011	-- addi rs1, rs23, 3
0000000 00001 10111 000 00010 0110011	-- add rs2, rs23, rs1
0000000 00001 00010 000 10111 0110011	-- add rs23, rs2, rs1
0000000 00001 00010 000 10111 0110011	-- add rs23, rs2, rs1
0000000 00010 00001 000 10110 0110011	-- add rs22, rs1, rs2
0000000 10111 00001 000 00010 0110011	-- add rs2, rs1, rs23
000000001010 00010 000 00001 0010011	-- addi rs1, rs2, 10
000000001010 00001 000 00010 0010011	-- addi rs2, rs1, 10
000000000011 10111 000 00001 0010011	-- addi rs1, rs23, 3
000000000001 10111 000 00001 0010011	-- addi rs1, rs23, 1
0000000 00001 00010 000 10111 0110011	-- add rs23, rs2, rs1
010110100111 01010 000 10010 0000011	-- lb rs18, rs10, 1447
000000000011 10010 010 10011 0000011	-- lh rs19, rs18, 3
